sequence_index,cluster
0,2
1,2
2,0
3,2
4,0
5,0
6,2
7,0
8,0
9,2
10,0
11,0
12,2
13,2
14,2
15,0
16,2
17,0
18,0
19,0
20,2
21,0
22,0
23,2
24,2
25,2
26,2
27,0
28,0
29,0
30,0
31,2
32,0
33,2
34,0
35,0
36,2
37,0
38,2
39,2
40,2
41,2
42,2
43,0
44,0
45,2
46,2
47,0
48,2
49,2
50,0
51,0
52,2
53,2
54,0
55,2
56,0
57,2
58,0
59,0
60,0
61,0
62,0
63,2
64,2
65,0
66,2
67,0
68,0
69,2
70,0
71,2
72,0
73,2
74,2
75,2
76,0
77,0
78,0
79,0
80,2
81,2
82,0
83,2
84,2
85,2
86,2
87,0
88,0
89,2
90,2
91,2
92,0
93,0
94,0
95,0
96,2
97,2
98,0
99,2
100,2
101,2
102,0
103,2
104,2
105,0
106,0
107,0
108,2
109,2
110,0
111,2
112,2
113,0
114,0
115,2
116,0
117,2
118,0
119,0
120,0
121,0
122,2
123,2
124,2
125,0
126,0
127,0
128,0
129,0
130,2
131,0
132,0
133,2
134,2
135,0
136,0
137,2
138,0
139,2
140,0
141,2
142,0
143,2
144,2
145,2
146,0
147,2
148,0
149,0
150,2
156,0
159,1
161,1
162,1
164,1
166,1
167,1
172,1
174,1
177,1
178,1
180,0
181,1
188,1
189,1
190,0
193,1
196,1
200,2
201,1
203,1
208,0
211,1
212,1
217,0
219,1
220,1
222,1
223,1
225,1
228,1
230,1
231,1
233,1
236,0
239,0
240,0
249,0
252,1
256,1
258,0
259,1
261,1
264,1
266,1
268,1
269,0
271,1
280,1
281,0
282,1
287,1
293,1
299,0
306,1
